epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,4465.81,0.01444,1.00719,0.99563,0.55335,0.32581,0.33883,0.11429,0.01668,1.34174,1.11342,0.00484,0.00484,0.00484
174,4491.58,0.01399,0.96139,0.97906,0.55636,0.33165,0.34673,0.11753,0.01654,1.31867,1.11768,0.00481,0.00481,0.00481
175,4517.48,0.01434,0.9871,0.99095,0.54599,0.32547,0.34279,0.11517,0.01687,1.42115,1.11993,0.00478,0.00478,0.00478
176,4543.35,0.01402,0.97387,0.99385,0.5529,0.33513,0.35284,0.11916,0.01648,1.35449,1.11843,0.00475,0.00475,0.00475
177,4569.17,0.01409,0.9675,0.98786,0.55179,0.3298,0.34729,0.11707,0.01646,1.34156,1.11398,0.00472,0.00472,0.00472
178,4594.94,0.01419,0.9903,0.9833,0.54652,0.3284,0.34495,0.1173,0.01666,1.39027,1.12479,0.00469,0.00469,0.00469
179,4620.76,0.01394,0.96772,0.97562,0.54977,0.32668,0.34144,0.11369,0.01679,1.35409,1.13316,0.00466,0.00466,0.00466
180,4646.58,0.01385,0.95707,0.98079,0.54909,0.32951,0.34802,0.11764,0.01674,1.38897,1.13387,0.00463,0.00463,0.00463
181,4672.29,0.014,0.96084,0.97751,0.55201,0.32824,0.346,0.11697,0.01665,1.36466,1.1369,0.0046,0.0046,0.0046
182,4698.12,0.01402,0.96961,0.97681,0.54701,0.32927,0.33762,0.11352,0.01672,1.36548,1.12649,0.00457,0.00457,0.00457
183,4723.91,0.01376,0.94842,0.97894,0.54891,0.32684,0.34095,0.11457,0.01676,1.35294,1.12962,0.00454,0.00454,0.00454
184,4749.55,0.01402,0.96825,0.97798,0.54661,0.32758,0.3428,0.11502,0.01682,1.39145,1.12522,0.00451,0.00451,0.00451
